,Original JPG,Binary PNG,IoU,Recall
0,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 18.png,0.09787009329343425,0.6525821596244131
1,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 03.png,0.06744737622294693,0.5788804071246819
2,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 08.png,0.0,0.0
3,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 11.png,0.0,0.0
4,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 10.png,0.0,0.0
5,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 14.png,0.08506224066390042,0.5584562996594779
6,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 06.png,0.06509471987101975,0.3687214611872146
7,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 01.png,0.06626814688300597,0.489281210592686
8,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 05.png,0.09633260098022646,0.6397306397306397
9,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 07.png,0.0,0.0
10,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 16.png,0.11234207968901846,0.6365638766519823
11,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 17.png,0.08349086326402017,0.6455542021924482
12,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 15.png,0.08617482951022938,0.54296875
13,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 12.png,0.0,0.0
14,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 04.png,0.101004851004851,0.655793025871766
15,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 02.png,0.07522935779816514,0.6078167115902965
16,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 09.png,0.0,0.0
17,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 13.png,0.0,0.0
18,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 21.png,0.1099899091826438,0.6550480769230769
19,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 09.png,0.13832434674408958,0.7257889009793254
21,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 17.png,0.0,0.0
22,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 20.png,0.12955974842767295,0.5933179723502304
23,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 04.png,0.18756906077348065,0.7246531483457844
24,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 10.png,0.0,0.0
25,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 11.png,0.0,0.0
26,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 01.png,0.18169398907103826,0.6848609680741503
27,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 15.png,0.0,0.0
29,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 19.png,0.12677510973405628,0.48326771653543305
30,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 03.png,0.11853448275862069,0.712742980561555
31,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 02.png,0.11056430446194225,0.7185501066098081
32,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 16.png,0.0,0.0
33,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 06.png,0.16870476665834788,0.7339847991313789
34,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 05.png,0.13189497252188073,0.6930481283422459
35,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 12.png,0.0,0.0
36,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 07.png,0.13485394157663066,0.723175965665236
37,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 08.png,0.13485394157663066,0.723175965665236
38,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 18.png,0.0,0.0
39,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 14.png,0.1288888888888889,0.6297142857142857
40,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 13.png,0.10736579275905118,0.6106508875739645
42,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 02.png,0.11051574012056263,0.6635388739946381
43,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 05.png,0.0,0.0
44,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 11.png,0.13236994219653178,0.4516765285996055
