,Original JPG,Binary PNG,IoU,Recall
0,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 18.png,0.0,0.0
1,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 03.png,0.0,0.0
2,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 08.png,0.0,0.0
3,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 11.png,0.0,0.0
4,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 10.png,0.0,0.0
5,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 14.png,0.0,0.0
6,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 06.png,0.0,0.0
7,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 01.png,0.3233256351039261,0.17654476670870115
8,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 05.png,0.3383720930232558,0.3265993265993266
9,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 07.png,0.0,0.0
10,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 16.png,0.7793814432989691,0.41629955947136565
11,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 17.png,0.6263910969793323,0.47990255785627284
12,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 15.png,0.5743329097839899,0.44140625
13,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 12.png,0.0,0.0
14,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 04.png,0.461038961038961,0.3194600674915636
