,Original JPG,Binary PNG,IoU,Recall
0,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 18.png,0.031115339414628688,0.6525821596244131
1,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 03.png,0.02422790202342918,0.5788804071246819
2,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 08.png,0.0,0.0
3,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 11.png,0.008289290681502087,0.26798561151079137
4,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 10.png,0.0,0.0
5,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 14.png,0.027754368222933874,0.5607264472190693
6,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 06.png,0.017665339948748707,0.3698630136986301
7,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 01.png,0.020792026150795777,0.489281210592686
8,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 05.png,0.03013351628054251,0.6408529741863075
9,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 07.png,0.002552294290628641,0.05077262693156733
10,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 16.png,0.032548710440364906,0.6365638766519823
11,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 17.png,0.029665286018135006,0.6455542021924482
12,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 15.png,0.0311353274769265,0.546875
13,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 12.png,0.0003536067892503536,0.006263048016701462
14,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 04.png,0.031086701503679214,0.655793025871766
15,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 02.png,0.023748091201095254,0.6078167115902965
16,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 09.png,0.0,0.0
17,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 13.png,0.0016111398814661372,0.030601092896174863
18,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 21.png,0.03085720756426226,0.6550480769230769
19,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 09.png,0.0381033990288489,0.7257889009793254
21,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 17.png,0.0,0.0
22,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 20.png,0.02917351158443324,0.5933179723502304
23,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 04.png,0.038268612974130645,0.7246531483457844
24,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 10.png,0.01149831947638422,0.186960690316395
25,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 11.png,0.00011870845204178538,0.00234192037470726
26,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 01.png,0.038216194471582095,0.6848609680741503
27,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 15.png,0.0,0.0
29,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 19.png,0.029520715791873254,0.5098425196850394
30,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 03.png,0.037349329409767415,0.712742980561555
31,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 02.png,0.03772106559211999,0.7185501066098081
32,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 16.png,0.0006046680372475511,0.013568521031207599
33,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 06.png,0.03830679435598119,0.7339847991313789
34,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 05.png,0.03649470601486821,0.6930481283422459
35,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 12.png,0.0013361676283024598,0.054187192118226604
