,Original JPG,Binary PNG,IoU,Recall
0,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 18.png,0.23846581434130074,0.5035211267605634
1,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 03.png,0.15904850746268656,0.43384223918575066
2,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 08.png,0.0,0.0
3,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 11.png,0.011659807956104253,0.030575539568345324
4,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 10.png,0.0,0.0
5,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 14.png,0.20856995353639649,0.4585698070374574
6,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 06.png,0.11217587373167982,0.2271689497716895
7,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 01.png,0.11952601751674395,0.29255989911727615
8,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 05.png,0.1743486973947896,0.39057239057239057
9,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 07.png,0.010443864229765013,0.017660044150110375
10,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 16.png,0.2622739018087855,0.44713656387665196
11,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 17.png,0.2772785622593068,0.5261875761266748
12,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 15.png,0.27767584097859327,0.443359375
13,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 12.png,0.0,0.0
14,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 04.png,0.19038901601830663,0.46794150731158607
15,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 02.png,0.1533457249070632,0.444743935309973
16,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4 (3-23-2018 1-44-41 PM)/4 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/4.1/4 09.png,0.0,0.0
